iter	RMSE
0	14.82877485
1	14.44080976
2	14.05717038
3	13.70842847
4	13.34669842
5	13.02851746
6	12.72973195
7	12.4497855
8	12.15477011
9	11.85864299
10	11.56950452
11	11.33535312
12	11.1080397
13	10.87253278
14	10.62663705
15	10.38835028
16	10.16858506
17	9.957223204
18	9.750642182
19	9.548855187
20	9.377384351
21	9.204909405
22	9.024173569
23	8.861111186
24	8.700253164
25	8.564803003
26	8.417952641
27	8.283790702
28	8.16028583
29	8.040626871
30	7.940683515
31	7.8309101
32	7.721445496
33	7.625223954
34	7.519367274
35	7.421532828
36	7.328451111
37	7.249437039
38	7.158743363
39	7.074146017
40	7.000683047
41	6.932179659
42	6.85635135
43	6.790526524
44	6.732055673
45	6.675314146
46	6.607590916
47	6.550265778
48	6.495120256
49	6.447162097
50	6.398274058
51	6.351774816
52	6.306825131
53	6.261133016
54	6.221743203
55	6.188573957
56	6.153664828
57	6.118226642
58	6.078054983
59	6.045776364
60	6.005463484
61	5.971998376
62	5.931657791
63	5.899554719
64	5.872124656
65	5.848399586
66	5.821023678
67	5.794129281
68	5.775248422
69	5.749953561
70	5.726750039
71	5.703938274
72	5.6848117
73	5.664839995
74	5.646795857
75	5.626253815
76	5.608849374
77	5.594820875
78	5.577908638
79	5.563820316
80	5.553174201
81	5.535795055
82	5.521758781
83	5.505135934
84	5.492136453
85	5.478724623
86	5.468040887
87	5.456673597
88	5.442349702
89	5.427415984
90	5.412366611
91	5.401921322
92	5.390760306
93	5.382017084
94	5.371373152
95	5.366735495
96	5.358501357
97	5.34910748
98	5.340918305
99	5.331311571
100	5.319161785
101	5.309399794
102	5.300226538
103	5.287188472
104	5.277362644
105	5.26875336
106	5.259623799
107	5.25266958
108	5.246873384
109	5.239817084
110	5.230365207
111	5.220607505
112	5.209527589
113	5.20142441
114	5.197968243
115	5.195720896
116	5.190693384
117	5.184570729
118	5.179042925
119	5.172946437
120	5.169149666
121	5.166741545
122	5.160408311
123	5.154725779
124	5.149171415
125	5.141779542
126	5.134762364
127	5.12701776
128	5.122818581
129	5.112839082
130	5.108656851
131	5.103000348
132	5.095548605
133	5.089557615
134	5.083142134
135	5.077983843
136	5.072495422
137	5.069265599
138	5.06490517
139	5.060094732
140	5.05376269
141	5.050958093
142	5.045415615
143	5.040197207
144	5.033505522
145	5.029238343
146	5.023510326
147	5.018009485
148	5.015237935
149	5.00900062
150	5.005659589
151	5.001700525
152	4.997641254
153	4.993848651
154	4.990506857
155	4.98245986
156	4.976475886
157	4.972910176
158	4.970154864
159	4.966953335
160	4.965530873
161	4.960168393
162	4.956451792
163	4.952478126
164	4.948058055
165	4.938256987
166	4.936822104
167	4.93212513
168	4.926936895
169	4.92347739
170	4.920650163
171	4.91753737
172	4.91207469
173	4.909760665
174	4.905971175
175	4.903428754
176	4.900155482
177	4.898072287
178	4.896155209
179	4.893521195
180	4.890558132
181	4.885779864
182	4.882228132
183	4.88037524
184	4.876495495
185	4.873896644
186	4.870732829
187	4.866592094
188	4.861486288
189	4.859778972
190	4.854450473
191	4.850825911
192	4.847727091
193	4.84388699
194	4.839529549
195	4.836054719
196	4.832353082
197	4.829836313
198	4.823776599
199	4.818285229
200	4.816094206
201	4.813309211
202	4.808517798
203	4.804976817
204	4.801278594
205	4.797092176
206	4.794350289
207	4.790859482
208	4.788104404
209	4.783659976
210	4.779330864
211	4.777023655
212	4.772115203
213	4.768180691
214	4.766376953
215	4.764078365
216	4.762691379
217	4.758976613
218	4.75623811
219	4.750908816
220	4.746146187
221	4.744628768
222	4.741368323
223	4.737644244
224	4.733341897
225	4.733186556
226	4.728985908
227	4.728840291
228	4.72759472
229	4.723793613
230	4.721169064
231	4.718603855
232	4.714456803
233	4.709571165
234	4.705633699
235	4.701835869
236	4.69959576
237	4.69669337
238	4.691600609
239	4.688155652
240	4.685439616
241	4.683261003
242	4.678364274
243	4.674246877
244	4.672111513
245	4.670116463
246	4.66627225
247	4.664346541
248	4.661870436
249	4.656938941
250	4.6521294
251	4.650143445
252	4.645522241
253	4.641680181
254	4.640985354
255	4.63374547
256	4.632700411
257	4.624743754
258	4.621964255
259	4.619315895
260	4.614600301
261	4.61347864
262	4.608968341
263	4.6075558
264	4.601141601
265	4.596038455
266	4.594434097
267	4.592470536
268	4.588917208
269	4.58597592
270	4.581840738
271	4.577767175
272	4.574986101
273	4.573473115
274	4.570734853
275	4.566605472
276	4.565840347
277	4.563726975
278	4.563321051
279	4.562969382
280	4.559609893
281	4.55749253
282	4.554240184
283	4.552487955
284	4.549323804
285	4.544875612
286	4.544045477
287	4.540122891
288	4.53363969
289	4.533354836
290	4.530759543
291	4.529632129
292	4.526158297
293	4.523639845
294	4.51738146
295	4.515919319
296	4.510528648
297	4.506649598
298	4.505233571
299	4.501723738
300	4.497156473
301	4.489698232
302	4.486880384
303	4.482172065
304	4.478258394
305	4.476149737
306	4.472654979
307	4.469799435
308	4.465155883
309	4.46026247
310	4.45948502
311	4.454772974
312	4.453305506
313	4.449977562
314	4.445857742
315	4.440215239
316	4.435397016
317	4.431608846
318	4.430875973
319	4.428161775
320	4.423913998
321	4.423701024
322	4.422400134
323	4.419858692
324	4.416146921
325	4.410760514
326	4.407386748
327	4.40354087
328	4.401527667
329	4.397099713
330	4.396691529
331	4.39036821
332	4.386823617
333	4.385425504
334	4.380804229
335	4.375177019
336	4.371466083
337	4.368769555
338	4.365291908
339	4.362328771
340	4.360808081
341	4.35759827
342	4.351714938
343	4.348606767
344	4.34490023
345	4.344601242
346	4.342841382
347	4.33949451
348	4.337367568
349	4.332055217
350	4.328624604
351	4.323920274
352	4.323197293
353	4.322889478
354	4.321386222
355	4.317239742
356	4.316277496
357	4.315624341
358	4.310116499
359	4.306447214
360	4.301382244
361	4.295485149
362	4.29263869
363	4.290987221
364	4.287962477
365	4.285657823
366	4.285413687
367	4.27969799
368	4.27507516
369	4.274834641
370	4.271166068
371	4.267727178
372	4.265275172
373	4.261904166
374	4.256918486
375	4.251106631
376	4.247142956
377	4.245783216
378	4.245250648
